month,state,criminal justice,health,healthcare,immigrants,rent
2015-04,AZ,84,69,62,21.0,74
2015-05,AZ,60,63,53,17.0,80
2015-06,AZ,52,68,60,13.0,86
2015-07,AZ,52,66,58,22.0,82
2015-08,AZ,72,67,64,26.0,78
2015-09,AZ,100,67,53,29.0,68
2015-10,AZ,82,69,59,25.0,65
2015-11,AZ,74,69,61,33.0,61
2015-12,AZ,62,66,57,27.0,61
2016-01,AZ,77,68,59,25.0,85
2016-02,AZ,72,68,51,30.0,84
2016-03,AZ,65,67,52,29.0,88
2016-04,AZ,67,69,55,29.0,89
2016-05,AZ,59,60,48,23.0,91
2016-06,AZ,44,63,53,19.0,92
2016-07,AZ,51,61,54,15.0,93
2016-08,AZ,69,68,52,17.0,82
2016-09,AZ,77,65,54,30.0,77
2016-10,AZ,80,68,56,28.0,70
2016-11,AZ,73,64,57,44.0,70
2016-12,AZ,62,59,50,25.0,65
2017-01,AZ,63,68,60,51.0,83
2017-02,AZ,72,68,54,100.0,79
2017-03,AZ,71,69,75,41.0,87
2017-04,AZ,64,68,51,27.0,83
2017-05,AZ,56,68,64,24.0,87
2017-06,AZ,52,67,62,16.0,93
2017-07,AZ,50,64,62,15.0,88
2017-08,AZ,66,66,55,20.0,80
2017-09,AZ,85,66,55,28.0,75
2017-10,AZ,78,67,59,22.0,72
2017-11,AZ,61,65,55,23.0,68
2017-12,AZ,52,56,49,20.0,66
2018-01,AZ,64,68,56,35.0,82
2018-02,AZ,64,64,50,35.0,81
2018-03,AZ,59,65,52,25.0,83
2018-04,AZ,64,68,50,29.0,89
2018-05,AZ,54,65,49,27.0,83
2018-06,AZ,44,65,53,49.0,90
2018-07,AZ,48,66,55,25.0,89
2018-08,AZ,68,69,54,21.0,82
2018-09,AZ,75,65,51,23.0,76
2018-10,AZ,77,70,55,48.0,74
2018-11,AZ,63,64,56,50.0,66
2018-12,AZ,68,61,46,31.0,72
2019-01,AZ,66,68,85,46.0,92
2019-02,AZ,67,63,55,33.0,83
2019-03,AZ,55,61,53,27.0,90
2019-04,AZ,81,69,52,33.0,85
2019-05,AZ,65,68,53,24.0,88
2019-06,AZ,59,69,52,33.0,92
2019-07,AZ,53,67,50,32.0,93
2019-08,AZ,71,66,50,29.0,81
2019-09,AZ,81,71,49,22.0,80
2019-10,AZ,77,72,52,23.0,74
2019-11,AZ,59,67,50,21.0,68
2019-12,AZ,52,60,44,22.0,69
2020-01,AZ,72,69,49,23.0,83
2020-02,AZ,75,71,51,25.0,81
2020-03,AZ,50,87,62,17.0,74
2020-04,AZ,57,77,66,22.0,76
2020-05,AZ,64,71,57,16.0,90
2020-06,AZ,61,78,54,17.0,91
2020-07,AZ,46,80,50,16.0,96
2020-08,AZ,72,71,46,20.0,81
2020-09,AZ,68,74,49,24.0,80
2020-10,AZ,67,75,50,21.0,77
2020-11,AZ,56,72,45,18.0,69
2020-12,AZ,48,81,51,16.0,70
2021-01,AZ,57,98,56,24.0,86
2021-02,AZ,57,86,60,24.0,88
2021-03,AZ,51,86,58,35.0,94
2021-04,AZ,55,75,54,26.0,91
2021-05,AZ,50,70,51,18.0,96
2021-06,AZ,43,73,54,15.0,94
2021-07,AZ,37,73,54,12.0,100
2021-08,AZ,47,80,61,19.0,94
2021-09,AZ,59,77,54,27.0,88
2021-10,AZ,57,80,54,25.0,81
2021-11,AZ,48,85,57,25.0,77
2021-12,AZ,37,75,56,16.0,73
2022-01,AZ,54,100,71,21.0,82
2022-02,AZ,58,79,65,21.0,84
2022-03,AZ,57,77,63,20.0,84
2022-04,AZ,70,74,63,25.0,84
2022-05,AZ,54,72,61,21.0,84
2022-06,AZ,44,73,62,17.0,88
2022-07,AZ,46,70,62,17.0,91
2022-08,AZ,63,78,65,19.0,77
2022-09,AZ,81,74,64,36.0,72
2022-10,AZ,69,73,61,25.0,67
2022-11,AZ,53,72,59,24.0,58
2022-12,AZ,46,68,55,25.0,59
2023-01,AZ,62,75,63,24.0,68
2023-02,AZ,67,77,62,26.0,66
2023-03,AZ,59,74,62,19.0,70
2023-04,AZ,57,80,63,20.0,72
2023-05,AZ,45,77,62,32.0,76
2023-06,AZ,37,75,66,18.0,77
2023-07,AZ,40,73,63,12.0,75
2023-08,AZ,56,78,69,18.0,70
2023-09,AZ,73,74,66,30.0,64
2023-10,AZ,63,77,68,26.0,60
2023-11,AZ,57,78,66,25.0,56
2023-12,AZ,44,67,56,36.0,54
2024-01,AZ,56,80,69,43.0,62
2024-02,AZ,60,82,73,44.0,63
2024-03,AZ,61,76,70,37.0,64
2024-04,AZ,73,76,69,28.0,65
2024-05,AZ,51,77,65,23.0,69
2024-06,AZ,35,76,58,27.0,72
2024-07,AZ,42,76,60,25.0,70
2024-08,AZ,61,76,63,38.0,65
2024-09,AZ,67,81,64,71.0,58
2024-10,AZ,71,78,62,50.0,56
2024-11,AZ,62,77,59,61.0,52
2024-12,AZ,58,77,100,26.0,53
2025-01,AZ,66,83,68,67.0,62
2025-02,AZ,65,86,69,72.0,60
2025-03,AZ,57,84,62,36.0,62
2025-04,AZ,63,78,70,39.0,60
2025-05,AZ,62,80,65,40.0,62
2015-01,CA,85,67,51,19.0,72
2015-02,CA,84,66,52,20.0,71
2015-03,CA,83,64,50,18.0,77
2015-04,CA,83,64,49,17.0,73
2015-05,CA,86,59,46,18.0,75
2015-06,CA,71,61,46,13.0,84
2015-07,CA,61,62,47,18.0,82
2015-08,CA,74,64,48,18.0,79
2015-09,CA,89,61,48,27.0,70
2015-10,CA,90,63,48,31.0,68
2015-11,CA,81,61,46,28.0,60
2015-12,CA,66,56,44,22.0,61
2016-01,CA,82,62,47,20.0,86
2016-02,CA,87,65,48,23.0,84
2016-03,CA,78,63,42,24.0,84
2016-04,CA,83,62,43,22.0,89
2016-05,CA,80,60,40,25.0,89
2016-06,CA,63,56,42,20.0,88
2016-07,CA,66,54,39,15.0,93
2016-08,CA,90,63,45,14.0,90
2016-09,CA,89,62,43,24.0,81
2016-10,CA,87,61,44,28.0,73
2016-11,CA,80,59,44,51.0,71
2016-12,CA,64,53,39,23.0,65
2017-01,CA,76,64,51,39.0,84
2017-02,CA,81,61,46,100.0,79
2017-03,CA,78,68,63,42.0,83
2017-04,CA,84,64,47,26.0,84
2017-05,CA,88,64,61,27.0,85
2017-06,CA,68,64,52,18.0,95
2017-07,CA,61,65,55,18.0,95
2017-08,CA,74,64,48,17.0,85
2017-09,CA,90,65,49,27.0,81
2017-10,CA,100,66,48,25.0,78
2017-11,CA,83,60,48,21.0,73
2017-12,CA,63,56,40,21.0,66
2018-01,CA,76,66,50,26.0,79
2018-02,CA,79,67,48,26.0,83
2018-03,CA,78,65,46,23.0,84
2018-04,CA,81,64,44,24.0,82
2018-05,CA,80,64,44,28.0,83
2018-06,CA,63,59,44,45.0,89
2018-07,CA,62,59,45,23.0,88
2018-08,CA,77,70,47,18.0,87
2018-09,CA,83,65,44,22.0,75
2018-10,CA,93,70,49,37.0,73
2018-11,CA,81,63,45,39.0,69
2018-12,CA,82,56,38,28.0,67
2019-01,CA,84,70,51,29.0,85
2019-02,CA,87,69,48,25.0,79
2019-03,CA,84,71,43,23.0,82
2019-04,CA,93,72,49,25.0,83
2019-05,CA,90,67,45,25.0,83
2019-06,CA,73,65,43,25.0,90
2019-07,CA,67,69,45,26.0,91
